O,E,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,E8,9,24,2,E,F3,1,24,4,O,G8,5,20,18,E,F7,9,40,16,O,D7,8,56,16,E,D3,8,72,16,O,C6,1,72,18,E,G5,8,80,26,O,B3,8,88,34,E,D2,5,76,56,O,B5,2,76,60,E,H3,5,64,82,O,H6,9,70,94,E,B4,2,72,96,O,E3,2,74,98,E,H8,1,104,70,O,B2,5,116,68,E,C5,9,136,66,O,G7,1,106,98,E,G4,2,108,100
E,O,2,1.5,2,1.5,1,1,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,E,E4,1,2,0,O,E6,1,2,2,E,D5,1,4,2,O,F5,1,4,4,E,H2,8,4,20,O,D7,9,12,30,E,D2,5,40,12,O,B4,8,48,20,E,G6,9,56,30,O,G7,5,38,58,E,F7,2,40,60,O,C5,2,40,64,E,F2,5,24,90,O,B2,5,60,64,E,H7,9,102,40,O,E7,9,88,72,E,B6,1,86,76,O,E8,2,88,78,E,C3,2,88,82,O,E2,1,52,120,E,E3,1,70,104,O,C4,1,66,110,E,H8,8,74,118,O,G5,8,74,134
E,O,2,1.5,2,1.5,1,1,1,1,2,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,E,E4,1,2,0,O,E6,1,2,2,E,D5,1,4,2,O,F5,1,4,4,E,B5,8,4,20,O,D7,9,12,30,E,G6,2,14,32,O,H4,5,18,38,E,G4,5,36,30,O,E2,8,36,46,E,B3,9,62,38,O,G5,9,74,44,E,C5,9,64,72,O,E7,2,66,74,E,D8,5,86,64,O,H6,1,78,74,E,C6,8,86,82,O,C8,5,64,114,E,G3,2,66,116,O,C3,1,78,106,E,B4,1,50,136,O,H2,2,50,140,E,H8,1,70,122,O,C4,8,78,130
E,O,2,1.5,2,1.5,1,1,1,1,2,1,2,1,1,1.5,2,2,2,2,2,1,1,1,1,1,E,E4,1,2,0,O,E6,1,2,2,E,D5,1,4,2,O,F5,1,4,4,E,H7,2,4,8,O,C6,1,4,10,E,F8,5,8,16,O,G2,2,8,20,E,F7,1,18,12,O,D8,5,12,28,E,B6,9,32,26,O,G6,1,24,36,E,E3,1,28,34,O,D7,9,40,40,E,D3,8,56,40,O,C3,2,60,40,E,B8,8,68,48,O,E7,9,86,48,E,G4,2,90,48,O,B3,5,62,86,E,C7,9,38,128,O,F2,8,46,136,E,H6,5,70,122,O,B4,8,78,130
O,E,1,1.5,1,1.5,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,2,2,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,E8,9,24,2,E,F7,8,32,10,O,G2,2,32,14,E,D3,2,34,16,O,H3,2,34,20,E,B5,1,38,18,O,F2,1,32,26,E,G6,2,34,28,O,C7,8,34,44,E,B6,9,30,66,O,G7,8,30,82,E,D7,5,56,66,O,B3,5,80,52,E,C2,5,90,52,O,G4,5,106,46,E,E3,9,86,84,O,G5,1,66,106,E,H4,1,76,98,O,D8,9,84,108,E,C4,8,100,108
O,E,1,1.5,1,1.5,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,1,1,2,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,E7,9,24,2,E,H3,2,24,6,O,D2,2,26,8,E,G7,2,28,10,O,B6,2,30,12,E,G4,5,36,16,O,F7,5,24,38,E,C4,9,48,32,O,D3,1,48,34,E,C7,1,56,28,O,E3,5,42,52,E,H8,1,46,50,O,C3,8,46,66,E,G8,8,62,66,O,F8,9,68,78,E,B3,8,68,94,O,G6,1,50,114,E,C8,5,96,78,O,G2,8,96,94,E,B7,9,98,110
O,E,1,1.5,1,1.5,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,H5,9,24,2,E,G7,2,24,6,O,G4,2,26,8,E,G5,1,20,16,O,E2,5,32,14,E,C3,9,50,14,O,G3,8,66,14,E,C4,8,82,14,O,E7,1,78,20,E,C2,5,56,52,O,D3,1,38,72,E,H6,1,28,84,O,G2,8,36,92,E,D8,2,36,96,O,B5,2,36,100,E,G8,5,22,124,O,C7,9,50,114,E,B3,8,50,130,O,B6,5,72,118,E,C5,9,64,144
E,O,2,1.5,2,1.5,1,1,1,1,1,1,2,2,2,2,1,1,1,2,2,2,1,1,1,1,E,E4,1,2,0,O,E6,1,2,2,E,D5,1,4,2,O,F5,1,4,4,E,H8,8,4,20,O,E7,1,8,18,E,E3,9,14,30,O,H4,9,30,32,E,C6,5,34,38,O,H6,8,42,46,E,B6,1,58,32,O,C4,5,68,32,E,D2,1,68,34,O,G3,1,60,44,E,G6,5,44,70,O,B5,8,52,78,E,D7,2,54,80,O,C5,9,92,60,E,C7,2,96,60,O,G8,2,96,64,E,H5,9,52,126,O,C3,5,46,142,E,G2,8,54,150,O,C2,2,56,152
O,E,1,1.5,1,1.5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,E2,9,24,2,E,F3,9,32,12,O,B4,5,36,18,E,F8,2,36,22,O,G5,8,36,38,E,B2,2,40,38,O,H2,2,42,40,E,C5,5,62,30,O,C6,2,66,30,E,C4,8,74,38,O,D8,1,76,38,E,G4,9,116,16,O,C7,1,102,32,E,E3,8,118,32,O,D7,8,126,40,E,G7,1,100,68,O,H6,5,104,74,E,G2,5,114,74,O,B5,9,92,114,E,C2,1,128,80
O,E,1,1.5,1,1.5,1,1,1,1,1,1.5,1.5,2,2,2,2,2,2,2,2,2,1,1,1,1,O,E4,1,2,0,E,E6,1,2,2,O,D5,1,4,2,E,F5,1,4,4,O,B5,9,24,2,E,B8,1,16,12,O,C8,2,18,14,E,G7,9,36,14,O,G3,1,28,24,E,G2,2,28,28,O,C3,2,30,30,E,F8,5,26,44,O,D2,5,32,48,E,C5,2,34,50,O,F2,8,42,58,E,C4,5,52,58,O,G5,8,60,66,E,E7,8,68,74,O,H6,1,68,76,E,D7,8,76,84,O,G6,5,108,62,E,B7,1,94,78,O,E3,9,110,80,E,H4,9,124,84
